location,longitude,latitude,bubbleSize,visitedDate,nPictures
Japan,35.68,135.69,2,2008,27
Geneva,46.20,6.15,2,1989 -,12
London,51.50,0,1,2011,5
Amsterdam,52.372305, 4.895870,1,2013,15
South Africa,-34.094160,24.896357,2,2006,14
Tangier,35.7764711,-5.8203484,1,2010,11
Andalousia,37.333351,-4.5765006,1,2010,12
Alicante,38.3578408,-0.4725241,1,2007,5
Singapore,1.3185848,103.8455665,2,2011,51
Athens,37.9908372,23.7383394,1,2008,17
Tenerife,28.4578204,-16.2863345,1,2007,8
Buenos Aires,-34.6158527,-58.4332985,2,2014,11
Iguazu,-25.8573997,-54.4140132,2,2014,16
Bariloche,-41.1154932,-71.3053957,2,2014,28
Ruta 40,-41.922548,-71.528087,2,2014,5
El Chalten,-49.3274595,-72.888728,1,2014,6
Cueva de las manos,-51.6296101,-69.2085152,1,2014,5
El Calafate,-50.3371688,-72.2796546,1,2014,7
Ushuaia,-54.8152519,-68.3007277,1,2014,24
Cyprus,35.1697515,33.4366038,2,2004,3
Goa,15.3472129,74.0149304,1,2004,5
Hampi,15.3331898,76.4633347,1,2007,15
Agra,27.1761745,77.9800129,1,2007,8
Mandawa,28.0529985,75.1487479,1,2007,17
Jaisalmer,26.9035788,70.8947302,1,2007,28
Malte,35.9440174,14.3795242,1,2003,3
Lloret de Mar,41.7026763,2.8393214,1,2007,7
Taizé,46.5104123,4.672505,1,2005,2
Johdpur,26.2703528,73.0305433,1,2007,9
Pushkar,26.4861294,74.5460129,1,2007,12
Bundi,25.4370337,75.6468129,1,2007,16
Udaipur,24.5872025,73.7108014,1,2007,13
